Date,Close/Last,Volume,Open,High,Low
02/04/2022,93.27,31707,91.04,93.7,90.89
02/03/2022,91.11,32203,89.06,91.29,88.01
02/02/2022,89.47,37431,89.29,90.51,88.28
02/01/2022,89.16,32211,89.38,89.96,87.72
01/31/2022,91.21,118,90.8,91.3,90.75
01/28/2022,90.03,6967,89.89,91.69,89.41
01/27/2022,89.34,12973,89.78,91.04,88.98
01/26/2022,89.96,27904,88.02,90.48,87.8
01/25/2022,88.2,27804,87.17,88.36,86.19
01/24/2022,86.27,31995,87.65,88.88,85.02
01/21/2022,87.89,28994,87.35,88.22,85.71
01/20/2022,88.38,29675,87.73,89.51,87.03
01/19/2022,88.44,35746,88.45,89.17,87.63
01/18/2022,87.51,43122,86.5,88.55,85.55
01/14/2022,86.06,29473,84.13,86.5,84.03
01/13/2022,84.47,26336,84.78,85.09,83.79
01/12/2022,84.67,31472,83.69,85.2,83.51
01/11/2022,83.72,36788,80.96,83.97,80.88
01/10/2022,80.87,28530,81.79,82.27,80.49
01/07/2022,81.75,28269,82.06,82.99,81.44
01/06/2022,81.99,39649,80.15,82.84,79.63
01/05/2022,80.8,34333,80.08,81.49,79.55
01/04/2022,80,30659,78.95,80.55,78.6
01/03/2022,78.98,25682,77.94,79.28,77.04
12/31/2021,77.78,20144,79.15,79.68,77.14
12/30/2021,79.32,476,79.25,79.62,78.66
12/29/2021,79.23,5516,79,80.16,78.14
12/28/2021,78.94,7543,78.87,79.85,78.47
12/27/2021,78.6,14007,76.3,79.06,75.76
12/23/2021,76.85,23616,75.67,76.98,74.79
12/22/2021,75.29,23779,74.04,75.69,73.59
12/21/2021,73.98,26549,72.1,74.26,71.24
12/20/2021,71.52,36111,73.06,73.07,69.26
12/17/2021,73.52,25575,74.51,74.96,72.62
12/16/2021,75.02,25386,74.57,75.59,74
12/15/2021,73.88,28932,73.26,74.57,72.48
12/14/2021,73.7,30769,74.3,75.15,72.57
12/13/2021,74.39,26063,75.54,76.39,74.19
12/10/2021,75.15,23916,74.1,75.7,73.8
12/09/2021,74.42,26537,76.02,76.7,73.83
12/08/2021,75.82,29824,75.27,76.37,75.02
12/07/2021,75.44,33623,73.54,76.26,73.23
12/06/2021,73.08,30083,70.3,73.78,70.29
12/03/2021,69.88,42891,70.5,72.6,69.23
12/02/2021,69.67,77520,68.81,70.6,69.8
12/01/2021,68.87,55882,70.14,72.86,68.15
11/30/2021,70.57,416,74.57,74.57,70.22
11/29/2021,73.44,7893,73.59,73.16,72.83
11/26/2021,72.72,28968,82.27,82.56,72.11
11/24/2021,82.25,27291,82.2,82.91,81.92
11/23/2021,82.31,40699,79.42,82.59,78.57
11/22/2021,79.7,30519,78.67,79.79,79.04
11/19/2021,78.89,43460,81.01,82.23,78.05
11/18/2021,81.24,30137,80.28,81.42,79.27
11/17/2021,80.28,37735,82.33,82.36,79.77
11/16/2021,82.43,24687,82.11,83.14,81.55
11/15/2021,82.05,31737,81.92,82.49,80.68
11/12/2021,82.17,25714,82.67,82.87,81.26
11/11/2021,82.87,30182,82.64,83.43,81.66
11/10/2021,82.64,35335,85.16,85.5,82.09
11/09/2021,84.78,34334,83.59,85.14,83.18
11/08/2021,83.43,26320,82.57,83.99,82.5
11/05/2021,82.74,42238,81,83.15,80.27
11/04/2021,80.54,70768,81.32,84.5,80.19
11/03/2021,81.99,49329,84.04,84.18,81.08
11/02/2021,84.72,39149,84.42,85.22,83.76
11/01/2021,84.71,35504,83.73,85.11,83.03
10/29/2021,84.38,362,84.19,84.56,84.06
10/28/2021,84.32,6486,84.18,84.57,82.31
10/27/2021,84.58,21981,86.13,86.27,84.05
10/26/2021,86.4,23874,86.03,86.53,85.28
10/25/2021,85.99,40752,85.71,86.72,85.44
10/22/2021,85.53,38765,84.65,85.94,83.83
10/21/2021,84.61,47081,85.88,86.12,83.36
10/20/2021,85.82,41281,85.1,85.89,83.63
10/19/2021,85.08,41887,84.11,85.4,83.71
10/18/2021,84.33,37176,85.05,86.03,83.96
10/15/2021,84.86,31221,84.2,85.1,84.17
10/14/2021,84,35502,83.35,84.28,83.23
10/13/2021,83.18,37792,83.16,83.69,82.21
10/12/2021,83.42,45327,83.61,84.23,82.72
