Date,Close/Last,Volume,Open,High,Low
02/04/2022,91.36,N/A,91.36,91.36,91.36
02/03/2022,89.67,N/A,89.67,89.67,89.67
02/02/2022,87.93,N/A,87.93,87.93,87.93
02/01/2022,87.83,N/A,87.83,87.83,87.83
01/31/2022,82.98,N/A,82.98,82.98,82.98
01/28/2022,82.91,N/A,82.91,82.91,82.91
01/27/2022,82.89,N/A,82.89,82.89,82.89
01/26/2022,83,N/A,83,83,83
01/25/2022,82.65,N/A,82.65,82.65,82.65
01/24/2022,82.08,N/A,82.08,82.08,82.08
01/21/2022,82.63,N/A,82.63,82.63,82.63
01/20/2022,82.77,N/A,82.77,82.77,82.77
01/19/2022,82.86,N/A,82.86,82.86,82.86
01/18/2022,82.37,N/A,82.37,82.37,82.37
01/14/2022,81.59,N/A,81.59,81.59,81.59
01/13/2022,80.67,N/A,80.67,80.67,80.67
01/12/2022,80.94,N/A,80.94,80.94,80.94
01/11/2022,80.04,N/A,80.04,80.04,80.04
01/10/2022,77.95,N/A,77.95,77.95,77.95
01/07/2022,78.48,N/A,78.48,78.48,78.48
01/06/2022,78.88,N/A,78.88,78.88,78.88
01/05/2022,77.59,N/A,77.59,77.59,77.59
01/04/2022,76.86,N/A,76.86,76.86,76.86
01/03/2022,76,N/A,76,76,76
12/31/2021,71.69,N/A,71.69,71.69,71.69
12/30/2021,71.77,N/A,71.77,71.77,71.77
12/29/2021,71.73,N/A,71.73,71.73,71.73
12/28/2021,71.65,N/A,71.65,71.65,71.65
12/27/2021,71.58,N/A,71.58,71.58,71.58
12/23/2021,71.17,N/A,71.17,71.17,71.17
12/22/2021,70.89,N/A,70.89,70.89,70.89
12/21/2021,70.37,N/A,70.37,70.37,70.37
12/20/2021,69.46,N/A,69.46,69.46,69.46
12/17/2021,70.35,N/A,70.35,70.35,70.35
12/16/2021,71,N/A,71,71,71
12/15/2021,70.26,N/A,70.26,70.26,70.26
12/14/2021,70.18,N/A,70.18,70.18,70.18
12/13/2021,70.5,N/A,70.5,70.5,70.5
12/10/2021,70.76,N/A,70.76,70.76,70.76
12/09/2021,70.28,N/A,70.28,70.28,70.28
12/08/2021,71.3,N/A,71.3,71.3,71.3
12/07/2021,71.05,N/A,71.05,71.05,71.05
12/06/2021,68.96,N/A,68.96,68.96,68.96
12/03/2021,66.18,N/A,66.18,66.18,66.18
12/02/2021,66.37,N/A,66.37,66.37,66.37
12/01/2021,65.5,N/A,65.5,65.5,65.5
11/30/2021,78.65,N/A,78.65,78.65,78.65
11/29/2021,78.83,N/A,78.83,78.83,78.83
11/26/2021,78.66,N/A,78.66,78.66,78.66
11/24/2021,80.12,N/A,80.12,80.12,80.12
11/23/2021,80.15,N/A,80.15,80.15,80.15
11/22/2021,79.73,N/A,79.73,79.73,79.73
11/19/2021,79.5,N/A,79.5,79.5,79.5
11/18/2021,80.34,N/A,80.34,80.34,80.34
11/17/2021,80.03,N/A,80.03,80.03,80.03
11/16/2021,81,N/A,81,81,81
11/15/2021,81.03,N/A,81.03,81.03,81.03
11/12/2021,80.99,N/A,80.99,80.99,80.99
11/11/2021,81.43,N/A,81.43,81.43,81.43
11/10/2021,81.24,N/A,81.24,81.24,81.24
11/09/2021,83.03,N/A,83.03,83.03,83.03
11/08/2021,81.55,N/A,81.55,81.55,81.55
11/05/2021,81.07,N/A,81.07,81.07,81.07
11/04/2021,79.08,N/A,79.08,79.08,79.08
11/03/2021,80.79,N/A,80.79,80.79,80.79
11/02/2021,83.5,N/A,83.5,83.5,83.5
11/01/2021,83.59,N/A,83.59,83.59,83.59
10/29/2021,81.22,N/A,81.22,81.22,81.22
10/28/2021,81.19,N/A,81.19,81.19,81.19
10/27/2021,81.17,N/A,81.17,81.17,81.17
