Close,Volume,date
92.31,465771.0,2022-02-04
90.27,465771.0,2022-02-03
88.26,456863.0,2022-02-02
88.2,376841.0,2022-02-01
88.15,436172.0,2022-01-31
86.82,427804.0,2022-01-28
86.61,427804.0,2022-01-27
87.35,459642.0,2022-01-26
85.6,507219.0,2022-01-25
83.31,511695.0,2022-01-24
85.14,509103.0,2022-01-21
86.9,532202.0,2022-01-20
86.96,113153.0,2022-01-19
85.43,163643.0,2022-01-18
83.82,364442.0,2022-01-14
82.12,364769.0,2022-01-13
82.64,420619.0,2022-01-12
81.22,481815.0,2022-01-11
78.23,389956.0,2022-01-10
78.9,414434.0,2022-01-07
79.46,476665.0,2022-01-06
77.85,397898.0,2022-01-05
76.99,372848.0,2022-01-04
76.08,317628.0,2022-01-03
75.21,237118.0,2021-12-31
76.99,231163.0,2021-12-30
76.56,283557.0,2021-12-29
75.98,249728.0,2021-12-28
75.57,268490.0,2021-12-27
73.79,270223.0,2021-12-23
72.76,306709.0,2021-12-22
71.12,358779.0,2021-12-21
68.23,492217.0,2021-12-20
70.86,78125.0,2021-12-17
72.38,142541.0,2021-12-16
70.87,294337.0,2021-12-15
70.73,359454.0,2021-12-14
71.29,406604.0,2021-12-13
71.67,397883.0,2021-12-10
70.94,393205.0,2021-12-09
72.36,464846.0,2021-12-08
72.05,496528.0,2021-12-07
69.49,401060.0,2021-12-06
66.26,449974.0,2021-12-03
66.5,668293.0,2021-12-02
65.57,602447.0,2021-12-01
66.18,722475.0,2021-11-30
69.95,675090.0,2021-11-29
68.15,844630.0,2021-11-26
78.03,328848.0,2021-11-25
78.39,328848.0,2021-11-24
78.5,506987.0,2021-11-23
76.75,465768.0,2021-11-22
76.1,623448.0,2021-11-19
79.01,83984.0,2021-11-18
78.36,174471.0,2021-11-17
80.76,325668.0,2021-11-16
80.88,343484.0,2021-11-15
80.79,390304.0,2021-11-12
81.59,475436.0,2021-11-11
81.34,555215.0,2021-11-10
84.15,504832.0,2021-11-09
81.93,393953.0,2021-11-08
81.27,531054.0,2021-11-04
78.81,701119.0,2021-11-03
80.86,546577.0,2021-11-02
83.91,429608.0,2021-11-01
84.05,412309.0,2021-10-31
83.57,507309.0,2021-10-28
82.81,491585.0,2021-10-27
82.66,529952.0,2021-10-26
84.65,467716.0,2021-10-25
83.76,568725.0,2021-10-24
83.76,465355.0,2021-10-21
82.5,567503.0,2021-10-20
83.87,530693.0,2021-10-19
82.96,82607.0,2021-10-18
82.44,134098.0,2021-10-17
82.28,277953.0,2021-10-14
81.31,399813.0,2021-10-13
80.44,487220.0,2021-10-12
80.64,598181.0,2021-10-11
80.52,653756.0,2021-10-10
79.35,662010.0,2021-10-07
78.3,545008.0,2021-10-06
77.43,459055.0,2021-10-05
78.93,449617.0,2021-10-04
77.62,458006.0,2021-10-03
75.88,388996.0,2021-09-30
75.03,583189.0,2021-09-29
