date,text
2010-10-11,gulf coast fractionators expanding its natural gas liquids fractionation facility innovations in plastic gas piping being put to good useecopetrol successfully startedup its hdt complex project
2010-10-12,ge oil gas has 32 million contract in perukp builds fcc gas hydrotreater for wynnewoodpetrofac to manage sajaa gas plant in uae
2010-10-13,neste oil and stora enso launch impact assessment for renewable diesel plantstrong petrochemicals signs deal with eurocontrolweg introduces acw series of moldedcase circuit breakers
2010-10-14,epa grants e15 waiver for newer vehiclessiirtec nigi lands large shah gas development contractsflint awarded suncor contract extension
2010-10-15,technip finalizes agreements with misc and mhbdoe’s xlerator program to fund piloting of exelus’ styrene monomer processci completes project for hunt refining and gaylord chemical
2010-10-18,keyera to provide oil sands services to husky oilsunoco to supply nascar with ethanolblended race fuelconocophillips and sasol north america to reimburse costs for calcasieu estuary cleanup
2010-10-19,veolia manager wins hazardous waste awardsulphco’s successful commercial technology evaluationsshell blends biofuel for scuderia ferrari at south korea grand prix
2010-10-20,siemens donates equipment to georgia techjacobs receives contract from nexen incpacific ethanol to restart california ethanol facility air products further expands asia technology center in shanghai
2010-10-21,exxonmobil commissions new ultralowsulfur diesel units petroplus plans to convert reichstett refinery site to a terminalcanadian chemistry industry lobby weighs in on airquality and tax measure
2010-10-22,new process converts crude ethanol into bioalkylatethe automation federation makes its case in washingtonalbemarle completes rd facility in south korea
2010-10-25,petrobras inks ethanol supply contractyara praxair to build air separation plantaxens delivers optimization software to aromatics oman
2010-10-26,workers end strike for three french refineriesgenesis energy grabs a 50 interest in cameron highway oil pipelineosha targets highhazard worksites for inspectionchavez bemoans us regulation and citgo profitability
2010-10-27,shell to sell downstream businesses in finland and sweden statoil plans to help pemex reduce flaring by installing a gas processing planttechnip in on ground floor of ghana gas processing plant project
2010-10-28,petrofac has gas plant contract with totalturblex now part of siemens energy basf launches social media newsroom
2010-10-29,statoil exercises one year option with aker solutions at mongstad refinery williams partners to acquire williams piceance basin gathering and processing assets
2010-11-01,new line of filter regulators for oem applications and critical inplant applications lanxess invests €9 million to expand evm productionbg group sanctions queensland curtis lng project
2010-11-02,repsol and kuo are mad about jatrophaalfa laval wins sek 110 million refinery order in indiafieldbus foundation announces first registered devices implementing advanced field diagnostics
2010-11-03,npra statement on defeat of proposition 23 in californiaexele introduces new alarm management software univation process selected for polyethylene hdll swing plant in china
2010-11-04,copano energy lends geosouthern a hand in the eagle ford shalecobalt technologies and us navy to develop military jet fuelgeo point technologies buys kazakh oil refinery
2010-11-05,cbi has storage tank contract in abu dhabitotal and cpi join forces to study a coaltoolefins petrochemical project in chinaivanhoe energy’s tamarack project marks major advance
2010-11-08,basf adds molecular sieve products to its adsorbents solution portfolioaltagas to construct natural gas processing facility in albertaeuropean group says biofuels worse than fossil fuels for environment
2010-11-09,sabic and lummus technology agree to develop toluene methylation technologydynamic fuels opens biofuels plant in louisiana sibur kicks off production of three petrochem lines at newly renovated russian plant
2010-11-10,chevron buys atlas with an eye towards natural gaspetrobras selects uop for two new brazilian refineriesge and zkmk localize turbine manufacturing in kazakhstan
2010-11-11,epa issues pollution permitting guidance to us stateshhi debuts new fpso in south koreaaon launches global energy risk engineering unit
2010-11-12,braskem and ineos technologies partner up for polyethylene technologiessg biofuels and bunge form strategic alliancecbi has middle east storage contract
2010-11-15,engineers assigned for chinese epdm plant developmenteuwide study confirms hydrogen is a key to zeroemission road transportcnoocs lng cold energy asu comes onstream
2010-11-16,npra says epa e15 misfueling regs won’t help consumersasian investment creates opportunity for flow and filtration equipmentdoes the us east coast face a flood of refined products imports
2010-11-17,puma energy buys bp’s southern african fuel marketing businessestechnip awarded a flare gas recovery contract in texasarkema to invest 110 million in its us acrylics businesses
2010-11-18,itt picks up oi and enhances its global analytical instrumentation businesssiemens launches new industrial gas turbine in swedenchevron to sell fuels marketing and aviation businesses in parts of the caribbean and central america
2010-11-19,aker midsund delivering separator and scrubber packages for fpsos alfa laval wins sek 50 million refinery order in indiarevamped process gas compressors delivered to petrobras refinery bayer materialscience increases downstream presence in china
2010-11-22,basf and gazprom celebrate 20year partnershipfull speed ahead with praxair’s new indiana hydrogen facilityeni starts major heavy oil project in venezuelaenterprise purchases isobutylene facility
2010-11-23,abb wins lng transport vessel contracteia report on financial health of major energy companies for third quarter 2010statoil recruits pttep for its alberta oil sands project
2010-11-24,tronox to resolve environmental liabilities with us governmentoneok partners honored by us epasabic opens new polyolefin logistics center in the uk
2010-11-26,scientists to produce super absorbents from co2neste oils nexbtl renewable diesel receives certification in germanycsb applauds nfpa’s new committee on standards for gas processing safety
2010-11-29,husky purchases property from exxonmobil canada and moves forward with sunriseprosep to collaborate in saudi arabia with bandariyah international groupbasf buys cricriterion’s global styrene catalysts business
2010-11-30,abb obtains baldor electric and expands industrial motion presenceneste oil starts up new renewable diesel plant in singaporeineos and basf establish global styrenics company called styrolution
2010-12-01,sabic building a plastics applications development center at saudi universityemerson selected as main automation contractor for petrobras comperj project technip working on total’s hydrocracker in the normandy refineryfieldbus foundation registers devices with advanced field diagnosticseuropean downstream oil industry safety performanceethanol to hit refining profitability construction news
2010-12-02,sunoco sells toledo refinery to pbftechnip awarded major contract in algeriathree orders placed with graham totaling 48 million
2010-12-03,sulfur content in us diesel fuel significantly reducedge gas engines used in philippines’ gas power plantnalco and lukoil form energy chemicals jv for western siberia
2010-12-06,merichem introduces product to sweeten mercaptans in jet fuelastm international wants to launch new standards on diesel exhaust fluidpetronas and basf looking at malaysian chemicals projectnew report urges us to take lead in international climate finance
2010-12-07,shell global solutions wants to help refiners manage sulfur levels jacobs working on desulfurization unit in taiwanalfa laval continues to expand its product portfolio
2010-12-08,aveva unveils new product at spar europe 2010siemens adds new process control system arkema to buy some of totals specialty chemicals businessesalbemarle and petrobras to build hpc plant in brazil
2010-12-09,chevron’s budget for next year is 26 billion shell global solutions licenses technology to iraqi refineryshaw to help engineer a new ethylene plant in india
2010-12-10,wood group gts awarded ge frame 9e gas turbine contractflint hills resources facility in illinois breaks safety record
2010-12-13,alfa laval sending heat exchangers to russian refineryfoster wheeler feeding two brazilian refineriesnpra says court decision on ghgs bad for consumerschiyoda giving shell a hand in singapore and malaysia
2010-12-14,colfax develops bearing and lubrication cartridge for refinery cooling fans isa publishes second edition of alarm management a comprehensive guidefluor named project management consultant for new refinery in turkey
2010-12-15,ntsb updates investigation into fatal pipeline rupturerasgas selects ge emissionreducing technologyfoster wheeler acquires sulfur recovery technology from flsmidth co
2010-12-16,himas safety system passes shells assessment testaker solutions wins contract for gasification and liquefaction plant in us dow announces plans for new propylene glycol plant in thailand
2010-12-17,stamicarbon urea tech licensed to bodashidi in chinaus biodiesel tax break extended through 2011topsøe will supply tail gas treatment catalysts to basf
2010-12-20,terasen gas receives approval to use pipelinequality biogas in british columbiabasf expands superabsorbent polymer plants in antwerp and freeportus department of energy offering up to 30 million for research into next gen biofuels
2010-12-21,qatar petroleum and shell looking at major petrochemicals project in qatar foster wheeler will engineer new blending plant in belgium alfa laval acquires aalborg industriescolfax delivers €17 million pump order to chinese plant
2010-12-22,black veatchpatented technology featured in asia’s largest natural gas plant jacobs buys aker solutions process and construction business
2010-12-23,burckhardt compression commissions compressor on fsru in dubaitarga resources partners to provide ngl transportation for eagle ford shaleamyris and são martinho select construction manager for brazilian industrial plant
2010-12-27,refinery explosion in oklahoma no injuries reportedepa outlines plan to set ghg standards for refinerseastman completes restart of olefin cracking unit at longview site
2010-12-28,team overcomes major obstacles to cellulosic biofuel productionsaudi aramco and cnpc vow to strengthen cooperationrd project announced in the industrial biofuels realm
2010-12-29,astm petroleum committee working on etbe test methodrepsol receives first qmax shipment from qatar under multiyear contractrepsol sells stake in refap refinery for 350 millionspecialty chemical plant being built in louisiana
2010-12-30,paa natural gas storage buys southern pines storage facilityeia releases annual natural gas analysisgushan environmental energy to assess impact of new chinese consumption tax exemption
2010-12-31,precision welding gas mixer helps maximize heliumtnkbp and the khantymansi autonomous region sign cooperation agreement
2011-01-03,fpso installation deal to aker solutions cbi acquires 100 interest in cdtechnew gas turbine generation for industrial applications
2011-01-04,npra joins group effort to overturn epa’s e15 authorizationjacobs to do turnaround work in newfoundlandeurecat building catalyst processing plant in india
2011-01-05,koch pipeline completes year with no safety incidents dresser renews supply agreement with big epc customerfinancial news for major energy companies third quarter 2010
2011-01-06,axens to acquire criterion’s catalytic reforming catalyst businessnew silicon detection analyzeremerson providing metering systems for oil terminal in iraq
2011-01-07,stamicarbon buys noy engineering to extend reach in polyamides marketus does not have infrastructure to consume more ethanolarkema increases fluorinated polymer capacity at its changshu plantashland inc exiting the pe business
2011-01-10,südchemie will provide fertilizer catalysts to yara for five yearsdupont buying danisco for 63 billiongraham corp has two ejector system orders worth 4 millionflint hills resources gobbles up two iowa ethanol plants
