Close,Volume,date
93.27,33059.0,2022-02-04
91.11,33059.0,2022-02-03
89.47,38172.0,2022-02-02
91.29,36248.0,2022-02-01
91.21,10824.0,2022-01-31
90.03,15201.0,2022-01-28
89.34,15201.0,2022-01-27
89.96,29805.0,2022-01-26
88.2,34253.0,2022-01-25
86.27,34253.0,2022-01-24
87.89,29566.0,2022-01-21
88.38,30524.0,2022-01-20
88.44,37483.0,2022-01-19
87.51,45875.0,2022-01-18
86.06,31970.0,2022-01-14
84.47,27107.0,2022-01-13
84.67,32298.0,2022-01-12
83.72,37934.0,2022-01-11
80.87,30035.0,2022-01-10
81.75,29501.0,2022-01-07
81.99,41582.0,2022-01-06
80.8,35152.0,2022-01-05
80.0,31321.0,2022-01-04
78.98,27224.0,2022-01-03
79.2,21740.0,2021-12-31
79.32,476.0,2021-12-30
79.23,7057.0,2021-12-29
78.94,8523.0,2021-12-28
78.6,15723.0,2021-12-27
76.85,27624.0,2021-12-23
75.29,28541.0,2021-12-22
73.98,27386.0,2021-12-21
71.52,36842.0,2021-12-20
73.52,26087.0,2021-12-17
75.02,26965.0,2021-12-16
73.88,29294.0,2021-12-15
73.7,31237.0,2021-12-14
74.39,27562.0,2021-12-13
75.15,24682.0,2021-12-10
74.42,27715.0,2021-12-09
75.82,31080.0,2021-12-08
75.44,34533.0,2021-12-07
73.08,32294.0,2021-12-06
69.88,43639.0,2021-12-03
69.67,81072.0,2021-12-02
68.87,56808.0,2021-12-01
70.57,77840.0,2021-11-30
73.44,12507.0,2021-11-29
72.72,29171.0,2021-11-26
82.28,30734.0,2021-11-25
82.25,30734.0,2021-11-24
82.31,41865.0,2021-11-23
79.7,39085.0,2021-11-22
78.89,44180.0,2021-11-19
81.24,30490.0,2021-11-18
80.28,38038.0,2021-11-17
82.43,25767.0,2021-11-16
82.05,32804.0,2021-11-15
82.17,27167.0,2021-11-12
82.87,31162.0,2021-11-11
82.64,36273.0,2021-11-10
84.78,34996.0,2021-11-09
83.43,27655.0,2021-11-08
82.74,43130.0,2021-11-04
80.54,72626.0,2021-11-03
81.99,50062.0,2021-11-02
84.72,40105.0,2021-11-01
84.71,36245.0,2021-10-31
84.38,35155.0,2021-10-28
84.32,10576.0,2021-10-27
84.58,25643.0,2021-10-26
86.4,32042.0,2021-10-25
85.99,43061.0,2021-10-24
85.53,41174.0,2021-10-21
84.61,49004.0,2021-10-20
85.82,43107.0,2021-10-19
85.08,45141.0,2021-10-18
84.33,40153.0,2021-10-17
84.86,33044.0,2021-10-14
84.0,37348.0,2021-10-13
83.18,39594.0,2021-10-12
83.42,47351.0,2021-10-11
83.65,46216.0,2021-10-10
82.39,48729.0,2021-10-07
81.95,43830.0,2021-10-06
81.08,41389.0,2021-10-05
82.56,44439.0,2021-10-04
81.26,43286.0,2021-10-03
79.28,31697.0,2021-09-30
78.52,51076.0,2021-09-29
78.64,8319.0,2021-09-28
79.09,21656.0,2021-09-27
79.53,20799.0,2021-09-26
78.09,20417.0,2021-09-23
77.25,26832.0,2021-09-22
76.19,26605.0,2021-09-21
74.36,25140.0,2021-09-20
73.92,28251.0,2021-09-19
75.34,26771.0,2021-09-16
75.67,27363.0,2021-09-15
75.46,35197.0,2021-09-14
73.6,27690.0,2021-09-13
73.51,26510.0,2021-09-12
72.92,26654.0,2021-09-09
71.45,35106.0,2021-09-08
72.6,31671.0,2021-09-07
71.69,35294.0,2021-09-06
72.61,27095.0,2021-09-02
73.03,30185.0,2021-09-01
71.59,32339.0,2021-08-31
72.99,28933.0,2021-08-30
73.41,3291.0,2021-08-29
72.7,13316.0,2021-08-26
71.07,24373.0,2021-08-25
72.25,32345.0,2021-08-24
71.05,38685.0,2021-08-23
68.75,29582.0,2021-08-22
65.18,27104.0,2021-08-19
66.45,35816.0,2021-08-18
68.23,34264.0,2021-08-17
69.03,29163.0,2021-08-16
69.51,33537.0,2021-08-15
70.59,26874.0,2021-08-12
71.31,22952.0,2021-08-11
71.44,34214.0,2021-08-10
70.63,30525.0,2021-08-09
69.04,42738.0,2021-08-08
70.7,35762.0,2021-08-05
71.29,32444.0,2021-08-04
70.38,44616.0,2021-08-03
72.41,41458.0,2021-08-02
72.89,38106.0,2021-08-01
76.33,27919.0,2021-07-29
76.05,9158.0,2021-07-28
74.74,20863.0,2021-07-27
74.48,26028.0,2021-07-26
74.5,31628.0,2021-07-25
74.1,23724.0,2021-07-22
73.79,34425.0,2021-07-21
72.23,43341.0,2021-07-20
69.35,43067.0,2021-07-19
68.62,58659.0,2021-07-18
73.59,33536.0,2021-07-15
73.47,41748.0,2021-07-14
74.76,49772.0,2021-07-13
76.49,32219.0,2021-07-12
75.16,32255.0,2021-07-11
75.55,31967.0,2021-07-08
74.12,42366.0,2021-07-07
73.43,51166.0,2021-07-06
74.53,58679.0,2021-07-05
76.17,31167.0,2021-07-01
75.84,52210.0,2021-06-30
75.13,33596.0,2021-06-29
74.76,4089.0,2021-06-28
74.68,27711.0,2021-06-27
76.18,31417.0,2021-06-24
75.56,26664.0,2021-06-23
75.19,32883.0,2021-06-22
74.81,39381.0,2021-06-21
74.9,38734.0,2021-06-20
73.51,26417.0,2021-06-17
73.08,42085.0,2021-06-16
74.39,42294.0,2021-06-15
73.99,32191.0,2021-06-14
72.86,25816.0,2021-06-13
72.69,36538.0,2021-06-10
72.52,37080.0,2021-06-09
72.22,31013.0,2021-06-08
72.22,29742.0,2021-06-07
71.49,21019.0,2021-06-06
71.89,24006.0,2021-06-03
71.31,25178.0,2021-06-02
71.35,22202.0,2021-06-01
69.63,39925.0,2021-05-31
69.63,861.0,2021-05-27
69.46,6546.0,2021-05-26
68.87,21097.0,2021-05-25
68.65,20377.0,2021-05-24
68.46,29400.0,2021-05-23
66.44,33829.0,2021-05-20
65.11,35448.0,2021-05-19
66.66,42607.0,2021-05-18
68.71,43138.0,2021-05-17
69.46,26662.0,2021-05-16
68.71,31042.0,2021-05-13
67.05,38726.0,2021-05-12
69.32,31702.0,2021-05-11
68.55,40504.0,2021-05-10
68.32,31833.0,2021-05-09
68.28,29163.0,2021-05-06
68.09,25171.0,2021-05-05
68.96,32004.0,2021-05-04
67.29,27613.0,2021-05-02
67.25,1136.0,2021-04-29
68.56,10592.0,2021-04-28
67.27,24119.0,2021-04-27
66.42,33604.0,2021-04-26
65.65,27250.0,2021-04-25
66.11,22397.0,2021-04-22
65.4,26722.0,2021-04-21
65.32,32764.0,2021-04-20
66.57,40194.0,2021-04-19
67.05,19740.0,2021-04-18
66.77,24035.0,2021-04-15
66.94,23442.0,2021-04-14
66.58,35988.0,2021-04-13
63.67,26957.0,2021-04-12
63.28,36366.0,2021-04-11
62.95,29073.0,2021-04-08
63.2,32283.0,2021-04-07
63.16,42225.0,2021-04-06
62.74,44319.0,2021-04-05
62.15,37285.0,2021-04-04
63.6,66715.0,2021-03-31
63.54,257.0,2021-03-30
64.14,4695.0,2021-03-29
64.98,18231.0,2021-03-28
64.57,23364.0,2021-03-25
61.95,27894.0,2021-03-24
64.41,36451.0,2021-03-23
60.79,43200.0,2021-03-22
64.62,29644.0,2021-03-21
64.53,54241.0,2021-03-18
63.28,61688.0,2021-03-17
68.0,37607.0,2021-03-16
68.39,27321.0,2021-03-15
68.88,30212.0,2021-03-14
69.22,27364.0,2021-03-12
69.63,30629.0,2021-03-11
67.9,37089.0,2021-03-10
67.52,30989.0,2021-03-09
68.24,37511.0,2021-03-08
69.36,40754.0,2021-03-05
66.74,67790.0,2021-03-04
64.07,35401.0,2021-03-03
62.7,37996.0,2021-03-02
65.95,33869.0,2021-03-01
66.13,191.0,2021-02-26
66.88,11746.0,2021-02-25
67.04,27000.0,2021-02-24
65.37,34643.0,2021-02-23
65.24,32173.0,2021-02-22
62.91,54254.0,2021-02-19
63.93,43309.0,2021-02-18
64.34,47339.0,2021-02-17
63.35,65492.0,2021-02-16
62.43,36933.0,2021-02-12
61.14,26169.0,2021-02-11
61.47,28344.0,2021-02-10
61.09,31230.0,2021-02-09
60.56,21098.0,2021-02-08
59.34,23510.0,2021-02-05
58.84,24732.0,2021-02-04
58.46,34146.0,2021-02-03
57.46,34815.0,2021-02-02
55.88,34234.0,2021-02-01
55.88,1143.0,2021-01-29
55.53,6141.0,2021-01-28
55.81,20094.0,2021-01-27
55.91,19102.0,2021-01-26
55.88,24457.0,2021-01-25
55.41,33071.0,2021-01-22
56.1,22792.0,2021-01-21
56.08,33793.0,2021-01-20
55.9,36910.0,2021-01-19
55.1,30604.0,2021-01-15
56.42,33446.0,2021-01-14
56.06,32953.0,2021-01-13
56.58,27874.0,2021-01-12
55.66,33199.0,2021-01-11
55.99,37597.0,2021-01-08
54.38,30800.0,2021-01-07
54.3,49186.0,2021-01-06
53.6,62791.0,2021-01-05
51.09,50232.0,2021-01-04
51.34,18326.0,2020-12-30
51.09,5788.0,2020-12-29
50.86,9704.0,2020-12-28
51.29,11666.0,2020-12-24
51.2,18879.0,2020-12-23
50.08,22381.0,2020-12-22
50.91,33507.0,2020-12-21
52.26,24749.0,2020-12-18
51.5,24947.0,2020-12-17
51.08,25996.0,2020-12-16
50.76,24071.0,2020-12-15
50.29,28782.0,2020-12-14
49.97,25222.0,2020-12-11
50.25,30919.0,2020-12-10
48.86,36534.0,2020-12-09
48.84,27102.0,2020-12-08
48.79,23896.0,2020-12-07
49.25,31658.0,2020-12-04
48.71,36526.0,2020-12-03
48.25,35514.0,2020-12-02
47.61,31987.0,2020-12-01
47.59,524.0,2020-11-30
48.18,12454.0,2020-11-27
48.61,24897.0,2020-11-25
47.86,31692.0,2020-11-24
46.06,35378.0,2020-11-23
44.96,24489.0,2020-11-20
44.2,25836.0,2020-11-19
44.34,28668.0,2020-11-18
43.75,27858.0,2020-11-17
43.82,37770.0,2020-11-16
42.78,34737.0,2020-11-13
43.53,36578.0,2020-11-12
43.8,43047.0,2020-11-11
43.61,41973.0,2020-11-10
42.4,55156.0,2020-11-09
39.45,33078.0,2020-11-06
40.93,30961.0,2020-11-05
41.23,39329.0,2020-11-04
39.71,39534.0,2020-11-03
37.46,40454.0,2020-11-02
37.46,908.0,2020-10-29
37.65,14205.0,2020-10-28
39.12,21228.0,2020-10-27
41.2,26720.0,2020-10-26
40.46,28463.0,2020-10-25
41.77,26207.0,2020-10-22
42.46,30590.0,2020-10-21
41.73,31681.0,2020-10-20
43.16,31677.0,2020-10-19
42.62,26265.0,2020-10-18
42.93,24159.0,2020-10-15
43.16,40144.0,2020-10-14
43.32,28837.0,2020-10-13
42.45,22528.0,2020-10-12
41.72,24754.0,2020-10-11
42.85,26041.0,2020-10-08
43.34,33351.0,2020-10-07
41.99,30170.0,2020-10-06
42.65,37426.0,2020-10-05
41.29,30456.0,2020-10-04
39.27,37290.0,2020-10-01
40.96,36595.0,2020-09-30
40.95,517.0,2020-09-29
41.03,8209.0,2020-09-28
42.43,11999.0,2020-09-27
41.92,17141.0,2020-09-24
41.94,21940.0,2020-09-23
41.77,23779.0,2020-09-22
41.72,19914.0,2020-09-21
41.44,24298.0,2020-09-20
43.15,26032.0,2020-09-17
43.3,27245.0,2020-09-16
42.22,29327.0,2020-09-15
40.53,25333.0,2020-09-14
39.61,22118.0,2020-09-13
39.83,24576.0,2020-09-10
40.06,24171.0,2020-09-09
40.79,30286.0,2020-09-08
39.78,52172.0,2020-09-07
42.66,32210.0,2020-09-03
44.07,30615.0,2020-09-02
44.43,31416.0,2020-09-01
45.1,19914.0,2020-08-30
45.05,620.0,2020-08-27
45.09,10776.0,2020-08-26
45.64,16657.0,2020-08-25
45.86,23808.0,2020-08-24
45.13,21033.0,2020-08-23
44.35,25495.0,2020-08-20
44.9,24042.0,2020-08-19
45.37,18063.0,2020-08-18
45.46,18063.0,2020-08-17
45.37,19441.0,2020-08-16
44.8,16681.0,2020-08-13
44.96,13877.0,2020-08-12
45.43,16995.0,2020-08-11
44.5,19786.0,2020-08-10
44.99,13672.0,2020-08-09
44.4,20363.0,2020-08-06
45.09,23131.0,2020-08-05
45.17,29337.0,2020-08-04
44.43,27305.0,2020-08-03
43.26,26883.0,2020-08-02
43.3,519.0,2020-07-30
42.94,8373.0,2020-07-29
43.75,10911.0,2020-07-28
43.22,17828.0,2020-07-27
43.41,22507.0,2020-07-26
43.34,21918.0,2020-07-23
43.31,25759.0,2020-07-22
44.29,19676.0,2020-07-21
44.32,24167.0,2020-07-20
43.28,18019.0,2020-07-19
43.14,21774.0,2020-07-16
43.37,20484.0,2020-07-15
43.79,23596.0,2020-07-14
42.9,21724.0,2020-07-13
42.72,22911.0,2020-07-12
43.24,24083.0,2020-07-09
42.35,23249.0,2020-07-08
43.29,19171.0,2020-07-07
43.08,18827.0,2020-07-06
43.1,28969.0,2020-07-05
43.14,21825.0,2020-07-01
41.13,26731.0,2020-06-30
41.15,688.0,2020-06-29
41.71,9783.0,2020-06-28
41.02,13481.0,2020-06-25
41.05,32530.0,2020-06-24
40.31,28537.0,2020-06-23
42.63,27036.0,2020-06-22
43.08,24433.0,2020-06-21
42.19,34079.0,2020-06-18
41.51,31042.0,2020-06-17
40.71,29078.0,2020-06-16
40.96,35087.0,2020-06-15
39.72,30674.0,2020-06-14
38.73,29653.0,2020-06-11
38.55,36881.0,2020-06-10
41.73,23565.0,2020-06-09
